"file","Ftrgt","Btrigger","HCR","TACconstr","BB","OM","Blim","catch_long","catch_short","catch_medium","risk1_full","risk1_long","risk1_short","risk1_medium","risk3_long","risk3_short","risk3_medium","iav_long","iav_short","iav_medium","catch_median_long","catch_median_short","catch_median_medium","conv_failed","F_maxed","ssb_median_long","ssb_median_short","ssb_median_medium","recovery_proportion","recovery_time","iavTAC_long","iavTAC_short","iavTAC_medium","fbar_median_long","fbar_median_short","fbar_median_medium","slope_long","slope_medium","slope_short"
"Baseline_HCR-B_Ftrgt-0.26_Btrigger-140000_TACconstr-TRUE_BB-TRUE.rds",0.26,140000,"B",TRUE,TRUE,"Baseline",94000,59284.62181,45582.6352,55593.75774,0.0627,0.048,0.0932,0.0616,0.057,0.149,0.073,0.394669805,0.348400377,0.394668286,49779.6,43172.8,47008.2,0,1,201238.6754,155418.7582,184780.3457,0.999,1,0.253521261,0.267815152,0.277248681,0.258489231,0.244747077,0.251519761,0.2719,0.2988,0.35
"Baseline_HCR-B_Ftrgt-0.26_Btrigger-150000_TACconstr-TRUE_BB-TRUE.rds",0.26,150000,"B",TRUE,TRUE,"Baseline",94000,59182.45301,45189.19944,55544.71104,0.059,0.0447,0.0906,0.056,0.054,0.147,0.069,0.392546715,0.348362952,0.395031517,49717.65,43111.2,46862.05,0,1,202495.8283,156336.6944,186390.9826,0.999,1,0.258470402,0.278764494,0.282259619,0.255526416,0.240692355,0.247488459,0.3171,0.3456,0.4154
"Baseline_HCR-B_Ftrgt-0.26_Btrigger-160000_TACconstr-FALSE_BB-FALSE.rds",0.26,160000,"B",FALSE,FALSE,"Baseline",94000,59033.3002,43653.278,57446.7782,0.0529,0.0397,0.0844,0.0478,0.043,0.153,0.054,0.260798644,0.203684425,0.277721703,50808,39609,49840,0,0,204351.0494,156474.6727,189576.5972,1,1,0.259718839,0.285360351,0.276586093,0.256259923,0.23606559,0.258705561,0.3592,0.4026,0.4696
"Baseline_HCR-B_Ftrgt-0.26_Btrigger-160000_TACconstr-TRUE_BB-TRUE.rds",0.26,160000,"B",TRUE,TRUE,"Baseline",94000,59041.14629,44758.0911,55467.82438,0.0545,0.0402,0.0874,0.0502,0.047,0.142,0.062,0.389979739,0.348001498,0.393245689,49536.5,42961.1,46816.65,0,1,203996.5293,156814.143,187867.7921,1,1,0.262129815,0.29351848,0.283044572,0.252537343,0.235855456,0.244581569,0.36,0.3922,0.4688
"Baseline_HCR-B_Ftrgt-0.26_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.26,170000,"B",FALSE,FALSE,"Baseline",94000,58876.7451,43145.117,57344.0662,0.0486,0.0349,0.0802,0.0444,0.037,0.146,0.05,0.264420655,0.21399353,0.279070358,50878,39162,49720.5,0,0,206325.5435,157652.9576,192040.0323,1,1,0.262471099,0.296481723,0.278053017,0.252575836,0.230666544,0.254582659,0.4021,0.4418,0.6978
"Baseline_HCR-B_Ftrgt-0.26_Btrigger-170000_TACconstr-TRUE_BB-TRUE.rds",0.26,170000,"B",TRUE,TRUE,"Baseline",94000,58898.17058,44288.96358,55352.05718,0.0508,0.0366,0.084,0.046,0.043,0.134,0.056,0.389302972,0.348670152,0.394758925,49324.2,42120.35,46603.2,0,1,206372.1552,157753.1058,190235.7633,1,1,0.265517329,0.306383602,0.285431599,0.248448327,0.228926508,0.24125096,0.4002,0.4388,0.6944
"Baseline_HCR-B_Ftrgt-0.26_Btrigger-180000_TACconstr-FALSE_BB-FALSE.rds",0.26,180000,"B",FALSE,FALSE,"Baseline",94000,58715.588,42553.1244,57207.1248,0.04435,0.0311,0.0734,0.0418,0.035,0.134,0.047,0.267808045,0.241824862,0.282963761,50581,37364,49531.5,0,0,208360.9511,159571.3451,194292.3757,1,1,0.266154188,0.301568158,0.281741642,0.249124014,0.222525642,0.251026708,0.4398,0.4806,0.7502
"Baseline_HCR-B_Ftrgt-0.26_Btrigger-180000_TACconstr-TRUE_BB-TRUE.rds",0.26,180000,"B",TRUE,TRUE,"Baseline",94000,58746.96903,43772.45304,55204.35282,0.04655,0.0328,0.079,0.0416,0.039,0.132,0.054,0.391094936,0.354711571,0.393187973,49069,40548.75,46221.55,0,0,208528.9711,159159.928,192671.5474,1,1,0.270946202,0.312876954,0.291806104,0.245034666,0.222596735,0.237713807,0.4375,0.4766,0.7552
"Baseline_HCR-B_Ftrgt-0.26_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.26,190000,"B",FALSE,FALSE,"Baseline",94000,58535.7952,41946.2012,57083.5526,0.0399,0.028,0.0674,0.0362,0.031,0.12,0.046,0.271188733,0.272872015,0.287946862,50364,35657,49494.5,0,0,210282.3023,161735.8108,196779.7488,1,1,0.269947617,0.306037023,0.286140037,0.24608618,0.214267346,0.247035423,0.4747,0.5154,0.7804
"Baseline_HCR-B_Ftrgt-0.26_Btrigger-200000_TACconstr-TRUE_BB-TRUE.rds",0.26,2e+05,"B",TRUE,TRUE,"Baseline",94000,58395.8173747495,42536.5774549098,54931.0257314629,0.0367234468937876,0.0255511022044088,0.0629258517034068,0.0328657314629259,0.0290581162324649,0.094188376753507,0.0460921843687375,0.390247912430234,0.343742074853354,0.390047443862893,48450.1,37118.4,45525.05,1,0,212797.146825343,164210.027029762,197707.091122798,1,1,0.277765453550255,0.317010873084628,0.30001223451788,0.237685553485909,0.206975986337383,0.230223800620578,0.507150715071507,0.5426,0.8096
